layout_id,field_name,location,country,latitude,longitude,flight_date
53824,WLM01,Iowa,USA,41.878,-93.097,6/20/2022 9:27
53825,BRKA,Iowa,USA,41.878,-93.097,6/20/2022 11:15
53839,CF2233,Iowa,USA,41.878,-93.097,6/3/2022 10:56
53849,CF2212,Iowa,USA,41.878,-93.097,6/8/2022 15:41
53850,CF2214,Iowa,USA,41.878,-93.097,7/1/2022 9:18
53851,CF2221,Iowa,USA,41.878,-93.097,6/6/2022 13:50
53853,CF2223_E1_10ft,Iowa,USA,41.878,-93.097,6/22/2022 13:58
53855,CF2232,Iowa,USA,41.878,-93.097,6/13/2022 14:12
53975,CF2222,Iowa,USA,41.878,-93.097,6/16/2022 12:19
53980,CF2224,Iowa,USA,41.878,-93.097,6/13/2022 12:27
53989,KYS02,Iowa,USA,41.878,-93.097,6/13/2022 13:04
53994,WRL01,Iowa,USA,41.878,-93.097,6/18/2022 12:44
54054,ATL02,Iowa,USA,41.878,-93.097,6/17/2022 10:02
54090,BRKD,Iowa,USA,41.878,-93.097,6/20/2022 12:06
54118,CF2221,Iowa,USA,41.878,-93.097,6/6/2022 13:54
54120,Sorenson 1,Iowa,USA,41.878,-93.097,6/29/2022 14:31
54189,CF2231,Iowa,USA,41.878,-93.097,6/17/2022 10:24
,,,,,,
