trial_id,layout_id,country_x,relevant (new) tags,coincidencia,field_name,location,country_y,latitude,longitude,flight_date
9446.0,53750,Brazil,"2,4,5,6,8",True,LRV_Milho,State of Mato Grosso,Brasil,-12.68,-56.921,2/24/2022 15:32
9479.0,53772,Brazil,"2,4,5,6,11",True,Sertanopolis - Milho,State of Paraná,Brasil,-23.058,-51.039,4/7/2022 16:11
9692.0,53808,USA,,True,CF2225,Iowa,USA,41.878,-93.097,6/28/2022 13:55
9692.0,53808,USA,"1,3,4,10",True,CF2225,Iowa,USA,41.878,-93.097,6/28/2022 13:55
9672.0,53817,USA,,True,CF2223_B1_10ft_Normal,Iowa,USA,41.878,-93.097,6/22/2022 14:52
9672.0,53817,USA,"1,4,5,6,11",True,CF2223_B1_10ft_Normal,Iowa,USA,41.878,-93.097,6/22/2022 14:52
9667.0,53819,USA,"1,3,4,10",True,CF2223_E1,Iowa,USA,41.878,-93.097,6/22/2022 14:08
9667.0,53819,USA,,True,CF2223_E1,Iowa,USA,41.878,-93.097,6/22/2022 14:08
9670.0,53821,USA,,True,CF2223_B1_Normal,Iowa,USA,41.878,-93.097,6/22/2022 14:44
9670.0,53821,USA,"1,5,6,10,11",True,CF2223_B1_Normal,Iowa,USA,41.878,-93.097,6/22/2022 14:44
9734.0,53822,USA,"1,3,4,6,10",True,WLM01,Iowa,USA,41.878,-93.097,6/20/2022 9:27
9734.0,53822,USA,,True,WLM01,Iowa,USA,41.878,-93.097,6/20/2022 9:27
9735.0,53823,USA,"1,3,4,6,10",True,WLM01,Iowa,USA,41.878,-93.097,6/20/2022 9:27
9735.0,53823,USA,,True,WLM01,Iowa,USA,41.878,-93.097,6/20/2022 9:27
9736.0,53824,USA,"1,3,4,6,10",True,WLM01,Iowa,USA,41.878,-93.097,6/20/2022 9:27
9736.0,53824,USA,,True,WLM01,Iowa,USA,41.878,-93.097,6/20/2022 9:27
9686.0,53825,USA,"1,4,5,6,10",True,BRKA,Iowa,USA,41.878,-93.097,6/20/2022 11:15
9686.0,53825,USA,,True,BRKA,Iowa,USA,41.878,-93.097,6/20/2022 11:15
9723.0,53839,USA,,True,CF2233,Iowa,USA,41.878,-93.097,6/3/2022 10:56
9723.0,53839,USA,"1,4,5,11",True,CF2233,Iowa,USA,41.878,-93.097,6/3/2022 10:56
9731.0,53849,USA,"1,3,4,7",True,CF2212,Iowa,USA,41.878,-93.097,6/8/2022 15:41
9731.0,53849,USA,,True,CF2212,Iowa,USA,41.878,-93.097,6/8/2022 15:41
9721.0,53850,USA,"3,5,6,10",True,CF2214,Iowa,USA,41.878,-93.097,7/1/2022 9:18
9721.0,53850,USA,,True,CF2214,Iowa,USA,41.878,-93.097,7/1/2022 9:18
9726.0,53851,USA,"1,5,11",True,CF2221,Iowa,USA,41.878,-93.097,6/6/2022 13:50
9726.0,53851,USA,,True,CF2221,Iowa,USA,41.878,-93.097,6/6/2022 13:50
9668.0,53853,USA,"1,3,6",True,CF2223_E1_10ft,Iowa,USA,41.878,-93.097,6/22/2022 13:58
